Year,Enrate,Unrate
1978,25.3,6.0
1979,25.0,6.0
1980,25.7,7.2
1981,26.1,8.5
1982,26.6,10.8
1983,26.2,8.3
1984,27.1,7.3
1985,27.8,7.0
1986,27.9,6.6
1987,29.6,5.7
1988,30.3,5.3
1989,30.9,5.4
1990,32.0,6.3
1991,33.3,7.3
1992,34.4,7.4
1993,34.0,6.5
1994,34.6,5.5
1995,34.3,5.6
1996,35.5,5.4
1997,36.8,4.7
1998,36.5,4.4
1999,35.6,4.0
2000,35.5,3.9
2001,36.3,5.7
2002,36.7,6.0
2003,37.8,5.7
2004,38.0,5.4
2005,38.9,4.9
2006,37.3,4.4
2007,38.8,5.0
2008,39.6,7.3
2009,41.3,9.9
2010,41.2,9.3
2011,42.0,8.5
2012,41.0,7.9
2013,39.9,6.7
